[grpo seed=0] training 500000 steps on cuda ...
[grpo] step  162852/500000 | vs random 0.99 vs negamax 0.51 (p1 0.62/p2 0.40) | ploss +0.013 ent 0.56 | train_wr 0.71 | mix r/n/s 0.40/0.39/0.22 lr 2.4e-04 | 93 st/s
[grpo] step  166173/500000 | vs random 0.99 vs negamax 0.43 (p1 0.46/p2 0.40) | ploss +0.009 ent 0.57 | train_wr 0.64 | mix r/n/s 0.39/0.39/0.22 lr 2.3e-04 | 94 st/s
[grpo] step  169062/500000 | vs random 0.94 vs negamax 0.38 (p1 0.48/p2 0.28) | ploss +0.070 ent 0.48 | train_wr 0.72 | mix r/n/s 0.39/0.39/0.22 lr 2.3e-04 | 95 st/s
[grpo] step  171987/500000 | vs random 0.99 vs negamax 0.42 (p1 0.44/p2 0.40) | ploss +0.013 ent 0.48 | train_wr 0.73 | mix r/n/s 0.38/0.40/0.22 lr 2.3e-04 | 95 st/s
[grpo] step  175433/500000 | vs random 0.98 vs negamax 0.40 (p1 0.40/p2 0.40) | ploss -0.022 ent 0.50 | train_wr 0.67 | mix r/n/s 0.37/0.40/0.23 lr 2.3e-04 | 96 st/s
[grpo] step  178694/500000 | vs random 0.99 vs negamax 0.46 (p1 0.56/p2 0.36) | ploss +0.086 ent 0.52 | train_wr 0.73 | mix r/n/s 0.37/0.40/0.23 lr 2.2e-04 | 97 st/s
[grpo] step  181723/500000 | vs random 1.00 vs negamax 0.52 (p1 0.58/p2 0.46) | ploss +0.069 ent 0.46 | train_wr 0.75 | mix r/n/s 0.36/0.41/0.23 lr 2.2e-04 | 97 st/s
[grpo] step  184795/500000 | vs random 0.97 vs negamax 0.53 (p1 0.74/p2 0.32) | ploss +0.013 ent 0.46 | train_wr 0.75 | mix r/n/s 0.36/0.41/0.23 lr 2.2e-04 | 98 st/s
[grpo] step  187887/500000 | vs random 0.98 vs negamax 0.55 (p1 0.56/p2 0.54) | ploss +0.081 ent 0.48 | train_wr 0.73 | mix r/n/s 0.35/0.42/0.23 lr 2.2e-04 | 99 st/s
[grpo] step  191133/500000 | vs random 0.95 vs negamax 0.64 (p1 0.70/p2 0.58) | ploss +0.020 ent 0.52 | train_wr 0.66 | mix r/n/s 0.35/0.42/0.23 lr 2.1e-04 | 99 st/s
[grpo] step  193846/500000 | vs random 0.99 vs negamax 0.55 (p1 0.62/p2 0.48) | ploss +0.089 ent 0.41 | train_wr 0.81 | mix r/n/s 0.34/0.42/0.23 lr 2.1e-04 | 100 st/s
[grpo] step  197289/500000 | vs random 1.00 vs negamax 0.47 (p1 0.54/p2 0.40) | ploss -0.026 ent 0.48 | train_wr 0.72 | mix r/n/s 0.34/0.43/0.24 lr 2.1e-04 | 100 st/s
[grpo] step  200808/500000 | vs random 0.98 vs negamax 0.47 (p1 0.58/p2 0.36) | ploss +0.003 ent 0.50 | train_wr 0.72 | mix r/n/s 0.33/0.43/0.24 lr 2.1e-04 | 101 st/s
[grpo] step  204427/500000 | vs random 0.97 vs negamax 0.59 (p1 0.66/p2 0.52) | ploss +0.036 ent 0.47 | train_wr 0.77 | mix r/n/s 0.33/0.43/0.24 lr 2.0e-04 | 101 st/s
[grpo] step  207920/500000 | vs random 0.98 vs negamax 0.61 (p1 0.64/p2 0.58) | ploss +0.026 ent 0.54 | train_wr 0.71 | mix r/n/s 0.32/0.44/0.24 lr 2.0e-04 | 102 st/s
[grpo] step  211708/500000 | vs random 0.99 vs negamax 0.55 (p1 0.70/p2 0.40) | ploss +0.029 ent 0.50 | train_wr 0.67 | mix r/n/s 0.32/0.44/0.24 lr 2.0e-04 | 102 st/s
[grpo] step  215031/500000 | vs random 0.97 vs negamax 0.55 (p1 0.58/p2 0.52) | ploss +0.023 ent 0.50 | train_wr 0.74 | mix r/n/s 0.31/0.44/0.25 lr 1.9e-04 | 103 st/s
[grpo] step  218433/500000 | vs random 0.99 vs negamax 0.69 (p1 0.74/p2 0.64) | ploss -0.006 ent 0.52 | train_wr 0.72 | mix r/n/s 0.31/0.45/0.25 lr 1.9e-04 | 103 st/s
[grpo] step  222046/500000 | vs random 0.98 vs negamax 0.62 (p1 0.62/p2 0.62) | ploss +0.041 ent 0.52 | train_wr 0.73 | mix r/n/s 0.30/0.45/0.25 lr 1.9e-04 | 103 st/s
[grpo] step  225492/500000 | vs random 0.97 vs negamax 0.61 (p1 0.64/p2 0.58) | ploss +0.000 ent 0.46 | train_wr 0.78 | mix r/n/s 0.29/0.46/0.25 lr 1.9e-04 | 104 st/s
[grpo] step  229006/500000 | vs random 0.95 vs negamax 0.63 (p1 0.76/p2 0.50) | ploss +0.016 ent 0.53 | train_wr 0.76 | mix r/n/s 0.29/0.46/0.25 lr 1.8e-04 | 104 st/s
[grpo] step  232785/500000 | vs random 0.99 vs negamax 0.70 (p1 0.76/p2 0.64) | ploss +0.021 ent 0.49 | train_wr 0.72 | mix r/n/s 0.28/0.46/0.25 lr 1.8e-04 | 104 st/s
[grpo] step  236291/500000 | vs random 0.96 vs negamax 0.59 (p1 0.70/p2 0.48) | ploss +0.025 ent 0.46 | train_wr 0.76 | mix r/n/s 0.28/0.47/0.26 lr 1.8e-04 | 105 st/s
[grpo] step  240155/500000 | vs random 0.99 vs negamax 0.66 (p1 0.78/p2 0.54) | ploss -0.025 ent 0.47 | train_wr 0.74 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 105 st/s
[grpo] step  243987/500000 | vs random 0.98 vs negamax 0.66 (p1 0.68/p2 0.64) | ploss +0.009 ent 0.48 | train_wr 0.73 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 106 st/s
[grpo] step  247442/500000 | vs random 1.00 vs negamax 0.60 (p1 0.70/p2 0.50) | ploss +0.050 ent 0.44 | train_wr 0.78 | mix r/n/s 0.26/0.48/0.26 lr 1.7e-04 | 106 st/s
[grpo] step  251356/500000 | vs random 0.97 vs negamax 0.67 (p1 0.62/p2 0.72) | ploss -0.013 ent 0.47 | train_wr 0.68 | mix r/n/s 0.26/0.48/0.26 lr 1.6e-04 | 106 st/s
[grpo] step  255190/500000 | vs random 0.98 vs negamax 0.77 (p1 0.84/p2 0.70) | ploss +0.004 ent 0.48 | train_wr 0.71 | mix r/n/s 0.26/0.48/0.27 lr 1.6e-04 | 107 st/s
[grpo] step  258971/500000 | vs random 0.98 vs negamax 0.78 (p1 0.82/p2 0.74) | ploss +0.014 ent 0.46 | train_wr 0.73 | mix r/n/s 0.25/0.48/0.27 lr 1.6e-04 | 107 st/s
